CITY,CBSA,Average_AQI
RICHMOND,"Richmond, VA",48.010958904109586
RIVERSIDE-SAN BERNARDINO-ONTARIO,"Riverside-San Bernardino-Ontario, CA",100.36712328767123
RIVERTON,"Riverton, WY",47.465753424657535
ROANOKE,"Roanoke, VA",39.21095890410959
ROANOKE RAPIDS,"Roanoke Rapids, NC",38.71895424836601
ROCHESTER,"Rochester, MN",42.15363511659808
ROCK SPRINGS,"Rock Springs, WY",48.71232876712329
ROCKFORD,"Rockford, IL",48.3049853372434
ROCKLAND,"Rockland, ME",36.83098591549296
ROCKY MOUNT,"Rocky Mount, NC",38.79338842975206
ROME,"Rome, GA",50.49862258953168
ROSEBURG,"Roseburg, OR",36.10374639769452
ROSWELL,"Roswell, NM",23.491525423728813
RUIDOSO,"Ruidoso, NM",14.85981308411215
RUTLAND,"Rutland, VT",42.12876712328767
SACRAMENTO--ROSEVILLE--ARDEN-ARCADE,"Sacramento--Roseville--Arden-Arcade, CA",61.31780821917808
SALEM,"Salem, OH",35.89234449760765
SALINAS,"Salinas, CA",40.97260273972603
SALISBURY,"Salisbury, MD-DE",45.97534246575343
SALT LAKE CITY,"Salt Lake City, UT",61.86027397260274
SAN ANTONIO-NEW BRAUNFELS,"San Antonio-New Braunfels, TX",56.07123287671233
SAN DIEGO-CARLSBAD,"San Diego-Carlsbad, CA",69.35068493150685
SAN FRANCISCO-OAKLAND-HAYWARD,"San Francisco-Oakland-Hayward, CA",52.72054794520548
SAN JOSE-SUNNYVALE-SANTA CLARA,"San Jose-Sunnyvale-Santa Clara, CA",50.47945205479452
SAN JUAN-CAROLINA-CAGUAS,"San Juan-Carolina-Caguas, PR",54.345205479452055
SAN LUIS OBISPO-PASO ROBLES-ARROYO GRANDE,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",51.942465753424656
SANDPOINT,"Sandpoint, ID",31.471232876712328
SANTA CRUZ-WATSONVILLE,"Santa Cruz-Watsonville, CA",39.89041095890411
SANTA FE,"Santa Fe, NM",46.54419889502763
SANTA MARIA-SANTA BARBARA,"Santa Maria-Santa Barbara, CA",48.2
SANTA ROSA,"Santa Rosa, CA",37.443835616438356
SAULT STE. MARIE,"Sault Ste. Marie, MI",42.724137931034484
SAVANNAH,"Savannah, GA",45.51044776119403
SAYRE,"Sayre, PA",41.70170454545455
SCOTTSBLUFF,"Scottsbluff, NE",26.150442477876105
SCRANTON--WILKES-BARRE--HAZLETON,"Scranton--Wilkes-Barre--Hazleton, PA",40.8
SEATTLE-TACOMA-BELLEVUE,"Seattle-Tacoma-Bellevue, WA",53.487671232876714
SEBASTIAN-VERO BEACH,"Sebastian-Vero Beach, FL",36.516417910447764
SEBRING,"Sebring, FL",36.012875536480685
SENECA,"Seneca, SC",36.21172638436482
SEVIERVILLE,"Sevierville, TN",45.760989010989015
SEYMOUR,"Seymour, IN",35.34166666666667
SHEBOYGAN,"Sheboygan, WI",40.800970873786405
SHELTON,"Shelton, WA",31.559556786703602
SHERIDAN,"Sheridan, WY",39.69041095890411
SHOW LOW,"Show Low, AZ",44.515068493150686
SHREVEPORT-BOSSIER CITY,"Shreveport-Bossier City, LA",43.98082191780822
SIERRA VISTA-DOUGLAS,"Sierra Vista-Douglas, AZ",48.18082191780822
SIOUX CITY,"Sioux City, IA-NE-SD",40.247252747252745
SIOUX FALLS,"Sioux Falls, SD",39.52876712328767
SOMERSET,"Somerset, KY",37.70514820592824
SONORA,"Sonora, CA",45.849162011173185
SOUTH BEND-MISHAWAKA,"South Bend-Mishawaka, IN-MI",47.76986301369863
SPARTANBURG,"Spartanburg, SC",43.86206896551724
SPOKANE-SPOKANE VALLEY,"Spokane-Spokane Valley, WA",48.726027397260275
SPRINGFIELD,"Springfield, IL",45.80289455547898
ST. CLOUD,"St. Cloud, MN",36.30232558139535
ST. GEORGE,"St. George, UT",46.06849315068493
ST. JOSEPH,"St. Joseph, MO-KS",46.016438356164386
ST. LOUIS,"St. Louis, MO-IL",61.81917808219178
ST. MARYS,"St. Marys, PA",36.50140056022409
STATE COLLEGE,"State College, PA",48.87123287671233
STEAMBOAT SPRINGS,"Steamboat Springs, CO",15.17134831460674
STOCKTON-LODI,"Stockton-Lodi, CA",53.8054794520548
SUMMERVILLE,"Summerville, GA",38.26229508196721
SYRACUSE,"Syracuse, NY",40.465753424657535
TALLAHASSEE,"Tallahassee, FL",48.11232876712329
TAMPA-ST. PETERSBURG-CLEARWATER,"Tampa-St. Petersburg-Clearwater, FL",52.25753424657534
TAOS,"Taos, NM",25.79608938547486
