City,State,Total_Rev_Prog_Desc
BLANCH,NC,900099.0
BLAND,VA,621910.0
BLANDING,UT,1886619.0
BLAUVELT,NY,900099.0
BLK RIVER FLS,WI,2534608.0
BLOCK ISLAND,RI,2235489.0
BLOOMER,WI,1338350.0
BLOOMFIELD,CT,5719238.0
BLOOMFIELD,IA,624410.0
BLOOMFIELD,IN,2361898.0
BLOOMFIELD,NJ,4995369.0
BLOOMFIELD HILLS,MI,1511809.0
BLOOMFLD HLS,MI,5642838.0
BLOOMING GRV,NY,624410.0
BLOOMINGDALE,IL,2432809.0
BLOOMINGDALE,MI,900099.0
BLOOMINGDALE,NY,922160.0
BLOOMINGDALE,OH,900099.0
BLOOMINGTON,IL,8296224.0
BLOOMINGTON,IN,22604102.0
BLOOMINGTON,MN,16967132.0
BLOOMINGTON,WI,621910.0
BLOOMSBURG,PA,10223452.0
BLOUNTSTOWN,FL,1183490.0
BLOUNTVILLE,TN,1415199.0
BLOWING ROCK,NC,1712999.0
BLUE ASH,OH,5341729.0
BLUE BELL,PA,2760329.0
BLUE EARTH,MN,1760310.0
BLUE GRASS,VA,616000.0
BLUE HILL,ME,1064910.0
BLUE MTN LAKE,NY,611710.0
BLUE RIDGE,GA,2757601.0
BLUE RIDGE,VA,1424610.0
BLUE RIVER,OR,711210.0
BLUE SPRINGS,MO,2148609.0
BLUEFIELD,WV,621910.0
BLUFF,UT,900099.0
BLUFFDALE,UT,531190.0
BLUFFTON,IN,3683459.0
BLUFFTON,OH,1234430.0
BLUFFTON,SC,3779418.0
BLYTHE,CA,900099.0
BLYTHE,GA,713990.0
BLYTHEVILLE,AR,624410.0
BLYTHEWOOD,SC,624100.0
BOARDMAN,OH,531110.0
BOCA RATON,FL,15683085.0
BOERNE,TX,5702426.0
BOGALUSA,LA,624100.0
BOHEMIA,NY,3242640.0
BOILING SPGS,NC,900099.0
BOILING SPGS,PA,1223030.0
BOILING SPGS,SC,524298.0
BOILING SPRINGS,SC,531110.0
BOISE,ID,44527100.0
BOLINAS,CA,900099.0
BOLINGBROOK,IL,2757429.0
BOLIVAR,MO,1353409.0
BOLIVAR,OH,900099.0
BOLIVAR,TN,1342321.0
BOLTON,MA,2870680.0
BOLTON,NC,561700.0
BOLTON LNDG,NY,621910.0
BOMOSEEN,VT,621110.0
BONDURANT,IA,900099.0
BONHAM,TX,623990.0
BONITA,CA,900099.0
BONITA SPGS,FL,2486720.0
BONITA SPRINGS,FL,900099.0
BONNER SPGS,KS,712110.0
BONNERS FERRY,ID,532000.0
BONSALL,CA,2324599.0
BOONE,IA,3057949.0
BOONE,NC,8446805.0
BOONE GROVE,IN,561499.0
BOONES MILL,VA,1546260.0
BOONEVILLE,AR,999999.0
BOONEVILLE,KY,531110.0
BOONSBORO,MD,1247410.0
BOONTON,NJ,813110.0
BOONVILLE,CA,713990.0
BOONVILLE,MO,532000.0
BOONVILLE,NC,621610.0
