CITY,CBSA,Percent_Unhealthy_Days
READING,"Reading, PA",1.643835616438356
RED BLUFF,"Red Bluff, CA",0.0
RED WING,"Red Wing, MN",0.0
REDDING,"Redding, CA",0.0
RENO,"Reno, NV",0.0
RICHMOND,"Richmond, VA",0.0
RIVERSIDE-SAN BERNARDINO-ONTARIO,"Riverside-San Bernardino-Ontario, CA",39.726027397260275
RIVERTON,"Riverton, WY",0.273972602739726
ROANOKE,"Roanoke, VA",0.0
ROANOKE RAPIDS,"Roanoke Rapids, NC",0.0
ROCHESTER,"Rochester, MN",0.0
ROCK SPRINGS,"Rock Springs, WY",0.821917808219178
ROCKFORD,"Rockford, IL",0.2932551319648094
ROCKLAND,"Rockland, ME",0.0
ROCKY MOUNT,"Rocky Mount, NC",0.0
ROME,"Rome, GA",0.0
ROSEBURG,"Roseburg, OR",0.0
ROSWELL,"Roswell, NM",0.0
RUIDOSO,"Ruidoso, NM",0.0
RUTLAND,"Rutland, VT",0.0
SACRAMENTO--ROSEVILLE--ARDEN-ARCADE,"Sacramento--Roseville--Arden-Arcade, CA",5.47945205479452
SALEM,"Salem, OH",0.0
SALINAS,"Salinas, CA",0.273972602739726
SALISBURY,"Salisbury, MD-DE",0.0
SALT LAKE CITY,"Salt Lake City, UT",4.931506849315069
SAN ANTONIO-NEW BRAUNFELS,"San Antonio-New Braunfels, TX",1.643835616438356
SAN DIEGO-CARLSBAD,"San Diego-Carlsbad, CA",6.8493150684931505
SAN FRANCISCO-OAKLAND-HAYWARD,"San Francisco-Oakland-Hayward, CA",2.4657534246575343
SAN JOSE-SUNNYVALE-SANTA CLARA,"San Jose-Sunnyvale-Santa Clara, CA",1.095890410958904
SAN JUAN-CAROLINA-CAGUAS,"San Juan-Carolina-Caguas, PR",5.205479452054795
SAN LUIS OBISPO-PASO ROBLES-ARROYO GRANDE,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",0.821917808219178
SANDPOINT,"Sandpoint, ID",0.273972602739726
SANTA CRUZ-WATSONVILLE,"Santa Cruz-Watsonville, CA",0.0
SANTA FE,"Santa Fe, NM",0.2762430939226519
SANTA MARIA-SANTA BARBARA,"Santa Maria-Santa Barbara, CA",0.273972602739726
SANTA ROSA,"Santa Rosa, CA",0.0
SAULT STE. MARIE,"Sault Ste. Marie, MI",0.0
SAVANNAH,"Savannah, GA",0.0
SAYRE,"Sayre, PA",0.0
SCOTTSBLUFF,"Scottsbluff, NE",0.0
SCRANTON--WILKES-BARRE--HAZLETON,"Scranton--Wilkes-Barre--Hazleton, PA",0.0
SEATTLE-TACOMA-BELLEVUE,"Seattle-Tacoma-Bellevue, WA",0.547945205479452
SEBASTIAN-VERO BEACH,"Sebastian-Vero Beach, FL",0.0
SEBRING,"Sebring, FL",0.0
SENECA,"Seneca, SC",0.0
SEVIERVILLE,"Sevierville, TN",0.0
SEYMOUR,"Seymour, IN",0.0
SHEBOYGAN,"Sheboygan, WI",0.9708737864077669
SHELTON,"Shelton, WA",0.0
SHERIDAN,"Sheridan, WY",0.0
SHOW LOW,"Show Low, AZ",0.273972602739726
SHREVEPORT-BOSSIER CITY,"Shreveport-Bossier City, LA",0.0
SIERRA VISTA-DOUGLAS,"Sierra Vista-Douglas, AZ",0.0
SIOUX CITY,"Sioux City, IA-NE-SD",0.0
SIOUX FALLS,"Sioux Falls, SD",0.273972602739726
SOMERSET,"Somerset, KY",0.0
SONORA,"Sonora, CA",0.5586592178770949
SOUTH BEND-MISHAWAKA,"South Bend-Mishawaka, IN-MI",0.0
SPARTANBURG,"Spartanburg, SC",0.5747126436781609
SPOKANE-SPOKANE VALLEY,"Spokane-Spokane Valley, WA",0.547945205479452
SPRINGFIELD,"Springfield, IL",0.13783597518952445
ST. CLOUD,"St. Cloud, MN",0.0
ST. GEORGE,"St. George, UT",0.0
ST. JOSEPH,"St. Joseph, MO-KS",0.0
ST. LOUIS,"St. Louis, MO-IL",2.4657534246575343
ST. MARYS,"St. Marys, PA",0.0
STATE COLLEGE,"State College, PA",0.0
STEAMBOAT SPRINGS,"Steamboat Springs, CO",0.2808988764044944
STOCKTON-LODI,"Stockton-Lodi, CA",3.287671232876712
SUMMERVILLE,"Summerville, GA",0.0
SYRACUSE,"Syracuse, NY",0.0
TALLAHASSEE,"Tallahassee, FL",0.273972602739726
TAMPA-ST. PETERSBURG-CLEARWATER,"Tampa-St. Petersburg-Clearwater, FL",1.36986301369863
TAOS,"Taos, NM",0.0
TERRE HAUTE,"Terre Haute, IN",0.273972602739726
TEXARKANA,"Texarkana, TX-AR",0.28653295128939826
THE DALLES,"The Dalles, OR",0.0
TOLEDO,"Toledo, OH",0.2849002849002849
TOPEKA,"Topeka, KS",0.273972602739726
TORRINGTON,"Torrington, CT",0.0
TRAVERSE CITY,"Traverse City, MI",0.0
TRENTON,"Trenton, NJ",0.547945205479452
TRUCKEE-GRASS VALLEY,"Truckee-Grass Valley, CA",1.3850415512465373
TUCSON,"Tucson, AZ",0.547945205479452
TULSA,"Tulsa, OK",0.547945205479452
TUPELO,"Tupelo, MS",0.0
TUSCALOOSA,"Tuscaloosa, AL",0.0
TWIN FALLS,"Twin Falls, ID",0.0
TYLER,"Tyler, TX",0.27472527472527475
UKIAH,"Ukiah, CA",0.0
URBAN HONOLULU,"Urban Honolulu, HI",0.0
UTICA-ROME,"Utica-Rome, NY",0.0
VALDOSTA,"Valdosta, GA",0.0
VALLEJO-FAIRFIELD,"Vallejo-Fairfield, CA",0.273972602739726
VERNAL,"Vernal, UT",6.027397260273973
VICTORIA,"Victoria, TX",0.0
VINCENNES,"Vincennes, IN",0.0
VINELAND-BRIDGETON,"Vineland-Bridgeton, NJ",0.8310249307479225
VINEYARD HAVEN,"Vineyard Haven, MA",1.1363636363636365
VIRGINIA BEACH-NORFOLK-NEWPORT NEWS,"Virginia Beach-Norfolk-Newport News, VA-NC",0.0
VISALIA-PORTERVILLE,"Visalia-Porterville, CA",22.19178082191781
WABASH,"Wabash, IN",0.0
WACO,"Waco, TX",0.0
WALLA WALLA,"Walla Walla, WA",0.0
WALTERBORO,"Walterboro, SC",0.0
WARNER ROBINS,"Warner Robins, GA",0.5649717514124294
WASHINGTON COURT HOUSE,"Washington Court House, OH",0.0
